,geometry,power,operator,operator:wikidata,ref,start_date,substation,name,operator:wikipedia,ref:terna,voltage,building,man_made,material,source,building:use,layer,location,substance,alt_name,landuse,plant:method,plant:output:electricity,plant:source,ref:EU:ENTSOE_EIC,wikidata,wikipedia,generator:source,addr:city,addr:housenumber,addr:postcode,addr:street,plant:type,website,name:en,since,utility,city,pipeline,valve,bridge,bridge:structure,direction,industrial,building:levels,building:material,roof:material,roof:shape,generator:method,generator:type,arpav_codice_bacino,arpav_codice_sottobacino,waterway
0,POINT (12.2588587 45.5051467),substation,Enel,Q651222,11031849,2001/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
1,POINT (12.3369855 45.4449225),substation,,,dg40-2-031560,,minor_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
2,POINT (12.3182023 45.4319262),substation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
3,"POLYGON ((12.2023319 45.4716009, 12.2035439 45.4715592, 12.2035355 45.4712382, 12.20352 45.4706518, 12.2034774 45.4690328, 12.2033057 45.4690456, 12.2031716 45.4689778, 12.2022774 45.4689783, 12.2023231 45.4702208, 12.2023535 45.4705433, 12.2023319 45.4716009))",substation,Terna S.p.A.,Q936325,,,transmission,Villabona TR,it:Terna (azienda),VVENVILV1_2;VVENVILVT2_2,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
4,"POLYGON ((12.3315169 45.4994902, 12.3315556 45.4994595, 12.3315925 45.4994824, 12.3315538 45.4995131, 12.3315169 45.4994902))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
5,"POLYGON ((12.2477166 45.4296456, 12.2481742 45.4296363, 12.2481645 45.4293225, 12.2477048 45.4293341, 12.2477166 45.4296456))",substation,Enel Produzione,Q3725220,,,transmission,Fusina Termica sezione 1 400,,VVENFSNV11,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
6,"POLYGON ((12.245247 45.4296921, 12.246057 45.4296865, 12.246049 45.4291839, 12.2452336 45.4291858, 12.245247 45.4296921))",substation,Enel Produzione,Q3725220,,,transmission,Fusina Termica sezione 1 220,,VVENFSNV21,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
7,"POLYGON ((12.2375099 45.433238, 12.237626 45.4332388, 12.2376249 45.4333113, 12.2377866 45.4333125, 12.2377952 45.432746, 12.2375174 45.432744, 12.2375099 45.433238))",substation,Alcoa,,,,industrial,Alcoa Fusina,,VVENALCV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
8,"POLYGON ((12.2471328 45.4283426, 12.2487583 45.4283125, 12.2487153 45.4271981, 12.2480716 45.4273035, 12.2480287 45.4273939, 12.2470255 45.4280941, 12.2471328 45.4283426))",substation,Enel Produzione,Q3725220,,,transmission,"Fusina Termica Sezione 2, 3, 4",,VVENFSNV42;VVENFSNV43;VVENFSNV44,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
9,"POLYGON ((12.2357284 45.4454465, 12.2357318 45.4454145, 12.2357194 45.4453836, 12.2356959 45.4453598, 12.2356631 45.4453422, 12.2356242 45.4453326, 12.2355829 45.445332, 12.2355434 45.4453403, 12.2355094 45.4453568, 12.2354844 45.4453798, 12.2354708 45.4454072, 12.2354699 45.4454361, 12.2354818 45.4454639, 12.2355085 45.4454899, 12.2355463 45.445508, 12.2355907 45.445516, 12.2356363 45.4455128, 12.2356776 45.4454988, 12.2357095 45.4454758, 12.2357284 45.4454465))",,,,,,,DP 407,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
10,"POLYGON ((12.23627 45.4456359, 12.2362836 45.4456085, 12.2362845 45.4455796, 12.2362726 45.4455519, 12.2362459 45.4455258, 12.2362081 45.4455077, 12.2361637 45.4454998, 12.2361181 45.445503, 12.2360769 45.4455169, 12.2360449 45.4455399, 12.2360261 45.4455692, 12.2360226 45.4456012, 12.236035 45.4456322, 12.2360585 45.445656, 12.2360914 45.4456735, 12.2361303 45.4456831, 12.2361716 45.4456837, 12.2362111 45.4456754, 12.236245 45.4456589, 12.23627 45.4456359))",,,,,,,DP 408,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
11,"POLYGON ((12.237539 45.4446981, 12.2375594 45.4446722, 12.2375671 45.4446431, 12.2375612 45.4446138, 12.2375423 45.4445874, 12.2375124 45.4445665, 12.2374746 45.4445534, 12.2374328 45.4445493, 12.2373913 45.4445548, 12.2373545 45.4445693, 12.2373261 45.4445912, 12.2373087 45.4446197, 12.2373058 45.4446506, 12.2373176 45.4446805, 12.237343 45.4447059, 12.2373789 45.4447239, 12.2374213 45.4447325, 12.2374654 45.4447308, 12.2375062 45.4447189, 12.237539 45.4446981))",,,,,,,DP 501,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
12,"POLYGON ((12.234658 45.4450811, 12.2346607 45.4450559, 12.234651 45.4450316, 12.2346325 45.4450129, 12.2346067 45.444999, 12.234576 45.4449915, 12.2345436 45.444991, 12.2345125 45.4449975, 12.2344858 45.4450105, 12.2344661 45.4450286, 12.2344554 45.4450501, 12.2344547 45.4450729, 12.234464 45.4450947, 12.234485 45.4451152, 12.2345148 45.4451295, 12.2345497 45.4451357, 12.2345855 45.4451332, 12.234618 45.4451222, 12.2346432 45.4451041, 12.234658 45.4450811))",,,,,,,DA 405,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
13,"POLYGON ((12.2378859 45.4450858, 12.2378975 45.4450544, 12.237894 45.445022, 12.2378759 45.4449922, 12.237845 45.444968, 12.2378047 45.4449522, 12.2377593 45.4449462, 12.2377135 45.4449509, 12.2376723 45.4449656, 12.2376401 45.4449889, 12.2376201 45.4450187, 12.237615 45.4450514, 12.2376256 45.4450836, 12.2376505 45.4451115, 12.237687 45.4451322, 12.2377312 45.4451433, 12.2377782 45.4451437, 12.2378228 45.4451333, 12.23786 45.4451133, 12.2378859 45.4450858))",,,,,,,DP 500,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
14,"POLYGON ((12.2350598 45.4452189, 12.2350705 45.4451974, 12.2350713 45.4451746, 12.2350619 45.4451528, 12.2350409 45.4451323, 12.2350112 45.4451181, 12.2349763 45.4451118, 12.2349404 45.4451143, 12.2349079 45.4451253, 12.2348828 45.4451434, 12.234868 45.4451664, 12.2348653 45.4451916, 12.234875 45.445216, 12.2348935 45.4452347, 12.2349193 45.4452485, 12.2349499 45.445256, 12.2349824 45.4452565, 12.2350135 45.44525, 12.2350401 45.445237, 12.2350598 45.4452189))",,,,,,,DA 406,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
15,"POLYGON ((12.2360383 45.445067, 12.236041 45.4450423, 12.2360315 45.4450185, 12.2360134 45.4450002, 12.2359881 45.4449867, 12.2359581 45.4449793, 12.2359264 45.4449788, 12.2358959 45.4449852, 12.2358698 45.4449979, 12.2358506 45.4450156, 12.2358401 45.4450367, 12.2358394 45.4450589, 12.2358485 45.4450803, 12.2358691 45.4451004, 12.2358982 45.4451143, 12.2359324 45.4451204, 12.2359674 45.4451179, 12.2359992 45.4451072, 12.2360238 45.4450895, 12.2360383 45.445067))",,,,,,,DP 502,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
16,"POLYGON ((12.2219639 45.4583595, 12.2223406 45.4577281, 12.2234342 45.4580684, 12.2232478 45.4583936, 12.2242879 45.4587044, 12.2239018 45.4593348, 12.2223723 45.458627, 12.2219639 45.4583595))",substation,Terna S.p.A.,Q936325,,,,Stazione 1A,it:Terna (azienda),,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
17,"POLYGON ((12.2270151 45.4592163, 12.227017 45.4589707, 12.2273572 45.4589701, 12.2273494 45.4592661, 12.2270437 45.4592709, 12.2270427 45.4592184, 12.2270151 45.4592163))",substation,Enel Distribuzione,Q3725215,,,distribution,Ca' Emiliani,,VVENCEMV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
18,"POLYGON ((12.2379015 45.4624464, 12.2378098 45.4622886, 12.2377162 45.4621276, 12.2376531 45.462019, 12.2378929 45.4619504, 12.2381413 45.4623779, 12.2379015 45.4624464))",substation,Edison,Q912872,,,transmission,Azotati,,VVENAZTVG3;VVENAZTVG4;VVENAZTVM1T;VVENAZTVM2,220000;132000,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
19,"POLYGON ((12.238633 45.4311837, 12.2394568 45.4311815, 12.2394523 45.430784, 12.238624 45.4307815, 12.238633 45.4311837))",substation,Alcoa,,,,industrial,Stazione V,,VVENST5V,220000,yes,,,,industrial,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
20,"POLYGON ((12.3471278 45.4392234, 12.3471333 45.4392235, 12.3471387 45.4392236, 12.3471442 45.4392235, 12.3471498 45.4392233, 12.3471551 45.4392228, 12.3471606 45.4392225, 12.3471673 45.4392216, 12.3471685 45.4392257, 12.3471829 45.4392233, 12.3471819 45.4392194, 12.3471874 45.4392185, 12.3471924 45.4392175, 12.3471973 45.4392162, 12.3472026 45.4392147, 12.3472078 45.4392133, 12.3472125 45.4392116, 12.3472175 45.4392099, 12.3472223 45.4392082, 12.3472269 45.4392063, 12.3472314 45.4392041, 12.347236 45.439202, 12.3472406 45.4391999, 12.3472449 45.4391974, 12.3472491 45.4391951, 12.3472528 45.4391981, 12.3472633 45.4391909, 12.3472597 45.4391882, 12.347265 45.4391844, 12.3472683 45.4391816, 12.3472718 45.4391788, 12.3472752 45.4391757, 12.3472785 45.4391727, 12.3472816 45.4391695, 12.3472848 45.4391662, 12.3472873 45.4391631, 12.3472901 45.4391596, 12.3472925 45.4391562, 12.347295 45.4391529, 12.3472973 45.4391494, 12.3472989 45.4391466, 12.3473038 45.4391474, 12.3473085 45.4391373, 12.3473043 45.4391363, 12.3473058 45.4391312, 12.347307 45.4391276, 12.3473081 45.4391238, 12.3473093 45.43912, 12.3473097 45.4391161, 12.3473102 45.4391123, 12.3473108 45.4391086, 12.3473109 45.4391048, 12.3473111 45.439101, 12.3473108 45.4390971, 12.3473107 45.4390932, 12.3473104 45.4390894, 12.3473096 45.4390856, 12.3473088 45.4390818, 12.3473136 45.4390805, 12.3473108 45.4390707, 12.3473057 45.4390713, 12.3473041 45.4390671, 12.3473023 45.4390632, 12.3473006 45.4390597, 12.3472984 45.4390562, 12.3472964 45.4390523, 12.3472939 45.439049, 12.3472917 45.4390456, 12.3472893 45.4390421, 12.3472864 45.439039, 12.3472834 45.4390357, 12.3472804 45.4390325, 12.3472773 45.4390292, 12.347274 45.4390263, 12.3472693 45.4390222, 12.347273 45.4390195, 12.3472647 45.439013, 12.3472611 45.4390158, 12.3472557 45.4390124, 12.3472518 45.4390097, 12.3472475 45.4390072, 12.3472431 45.4390049, 12.3472386 45.4390026, 12.3472341 45.4390003, 12.3472299 45.4389983, 12.3472252 45.4389964, 12.3472205 45.4389944, 12.3472154 45.4389927, 12.3472107 45.438991, 12.3472057 45.4389893, 12.3472 45.4389874, 12.3472011 45.4389841, 12.3471857 45.4389805, 12.3471842 45.4389839, 12.3471798 45.4389833, 12.3471747 45.4389825, 12.3471692 45.4389817, 12.3471638 45.4389812, 12.3471584 45.4389806, 12.347153 45.4389803, 12.3471477 45.4389798, 12.3471423 45.4389797, 12.3471369 45.4389796, 12.3471314 45.4389798, 12.3471259 45.4389801, 12.3471205 45.4389805, 12.347115 45.4389806, 12.347109 45.438981, 12.3471082 45.438978, 12.3470936 45.43898, 12.3470948 45.4389832, 12.3470886 45.4389848, 12.3470834 45.4389859, 12.3470783 45.438987, 12.347073 45.4389885, 12.3470682 45.43899, 12.3470631 45.4389917, 12.3470582 45.4389933, 12.3470535 45.4389949, 12.3470487 45.438997, 12.3470442 45.4389991, 12.3470396 45.4390012, 12.3470354 45.4390034, 12.3470302 45.4390061, 12.3470267 45.4390034, 12.3470155 45.4390105, 12.3470186 45.4390132, 12.3470146 45.439016, 12.3470108 45.4390186, 12.3470073 45.4390213, 12.3470036 45.4390245, 12.3470004 45.4390275, 12.346997 45.4390306, 12.346994 45.4390338, 12.3469908 45.4390367, 12.3469883 45.4390401, 12.3469856 45.4390434, 12.3469831 45.439047, 12.3469806 45.4390503, 12.3469783 45.4390538, 12.3469766 45.4390574, 12.3469737 45.4390625, 12.3469689 45.439062, 12.3469653 45.4390721, 12.3469694 45.4390727, 12.3469686 45.4390756, 12.3469675 45.4390795, 12.3469667 45.4390833, 12.3469659 45.4390871, 12.3469654 45.4390909, 12.3469648 45.4390947, 12.3469647 45.4390985, 12.3469645 45.4391023, 12.3469647 45.4391062, 12.3469651 45.43911, 12.3469656 45.4391138, 12.3469661 45.4391177, 12.3469672 45.4391231, 12.3469619 45.4391236, 12.346964 45.4391324, 12.3469702 45.4391315, 12.3469719 45.4391363, 12.3469733 45.4391399, 12.346975 45.4391436, 12.3469772 45.4391472, 12.3469791 45.4391508, 12.3469817 45.4391542, 12.3469839 45.4391576, 12.3469864 45.4391609, 12.346989 45.4391643, 12.3469922 45.4391676, 12.3469952 45.4391707, 12.3469991 45.4391745, 12.3469936 45.4391781, 12.3470064 45.4391884, 12.3470117 45.4391849, 12.347016 45.4391884, 12.3470201 45.439191, 12.3470241 45.4391935, 12.3470281 45.4391961, 12.3470326 45.4391984, 12.347037 45.4392008, 12.3470413 45.4392029, 12.347046 45.4392051, 12.3470504 45.4392069, 12.3470555 45.4392088, 12.3470602 45.4392105, 12.3470653 45.4392122, 12.3470731 45.4392144, 12.3470713 45.4392194, 12.347089 45.4392231, 12.347091 45.4392189, 12.3470958 45.4392199, 12.3471013 45.4392207, 12.3471063 45.4392215, 12.3471117 45.439222, 12.3471171 45.4392227, 12.3471225 45.4392231, 12.3471278 45.4392234))",,,,,,,,,,,yes,gasometer,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
21,"POLYGON ((12.3468691 45.4388097, 12.346872 45.4388121, 12.3468751 45.4388145, 12.3468779 45.4388165, 12.346881 45.4388187, 12.3468842 45.4388208, 12.3468872 45.4388226, 12.3468903 45.4388246, 12.3468937 45.4388266, 12.3468968 45.4388285, 12.3469002 45.4388304, 12.3469036 45.438832, 12.3469072 45.4388339, 12.3469105 45.4388356, 12.3469143 45.4388369, 12.3469178 45.4388386, 12.3469215 45.43884, 12.3469252 45.4388415, 12.3469291 45.438843, 12.3469328 45.4388444, 12.3469367 45.4388456, 12.3469404 45.4388468, 12.3469441 45.4388481, 12.3469508 45.4388495, 12.3469498 45.4388529, 12.3469656 45.4388564, 12.346967 45.4388533, 12.3469726 45.4388543, 12.3469767 45.4388551, 12.346981 45.4388557, 12.346985 45.4388561, 12.3469892 45.4388567, 12.3469932 45.438857, 12.3469975 45.4388574, 12.3470019 45.4388576, 12.3470061 45.4388581, 12.3470102 45.4388581, 12.3470143 45.4388583, 12.3470187 45.4388583, 12.3470229 45.4388582, 12.3470272 45.4388581, 12.3470312 45.4388579, 12.3470355 45.4388577, 12.3470399 45.4388574, 12.347044 45.4388571, 12.3470483 45.4388567, 12.3470524 45.4388562, 12.3470567 45.4388555, 12.3470609 45.438855, 12.3470648 45.4388545, 12.3470709 45.4388533, 12.347072 45.4388566, 12.3470913 45.4388521, 12.3470899 45.4388488, 12.3470932 45.4388479, 12.3470971 45.4388468, 12.3471008 45.4388456, 12.3471048 45.4388443, 12.3471084 45.438843, 12.3471122 45.4388415, 12.3471159 45.4388401, 12.3471195 45.4388386, 12.3471231 45.4388371, 12.3471266 45.4388354, 12.3471302 45.4388339, 12.3471338 45.4388322, 12.347137 45.4388304, 12.3471404 45.4388285, 12.3471437 45.4388265, 12.3471469 45.4388249, 12.3471503 45.4388229, 12.3471532 45.4388207, 12.3471564 45.4388188, 12.3471595 45.4388166, 12.3471625 45.4388144, 12.3471652 45.4388123, 12.347168 45.43881, 12.3471707 45.4388079, 12.3471734 45.4388054, 12.3471771 45.4388076, 12.3471879 45.4387978, 12.3471839 45.4387953, 12.3471855 45.4387933, 12.3471877 45.4387907, 12.3471899 45.438788, 12.347192 45.4387854, 12.347194 45.438783, 12.3471957 45.4387803, 12.3471977 45.4387775, 12.3471996 45.4387748, 12.3472009 45.4387721, 12.3472026 45.4387692, 12.3472039 45.4387665, 12.3472054 45.4387636, 12.3472068 45.4387607, 12.347208 45.4387578, 12.347209 45.4387549, 12.3472101 45.4387523, 12.3472112 45.4387493, 12.3472119 45.4387463, 12.3472128 45.4387433, 12.3472135 45.4387404, 12.3472141 45.4387375, 12.3472145 45.4387346, 12.3472148 45.4387317, 12.3472154 45.4387274, 12.3472212 45.4387275, 12.3472216 45.4387129, 12.3472157 45.4387128, 12.3472153 45.4387107, 12.347215 45.4387078, 12.3472146 45.438705, 12.347214 45.4387016, 12.3472136 45.4386988, 12.3472128 45.4386959, 12.347212 45.4386929, 12.3472112 45.43869, 12.3472102 45.4386873, 12.3472092 45.4386842, 12.347208 45.4386813, 12.3472068 45.4386786, 12.3472055 45.4386756, 12.3472043 45.4386729, 12.3472027 45.4386702, 12.347201 45.4386673, 12.3471996 45.4386645, 12.3471977 45.4386618, 12.3471959 45.4386592, 12.3471941 45.4386565, 12.347192 45.4386537, 12.3471898 45.4386512, 12.3471878 45.4386487, 12.3471857 45.4386462, 12.3471823 45.4386424, 12.347187 45.4386399, 12.3471744 45.4386281, 12.3471705 45.4386309, 12.3471682 45.4386293, 12.3471654 45.438627, 12.3471623 45.4386249, 12.3471596 45.4386226, 12.3471566 45.4386205, 12.3471534 45.4386184, 12.3471503 45.4386166, 12.3471472 45.4386144, 12.3471441 45.4386125, 12.3471406 45.4386106, 12.3471372 45.4386088, 12.3471339 45.4386071, 12.3471303 45.4386054, 12.3471269 45.4386038, 12.3471235 45.4386021, 12.3471197 45.4386004, 12.3471163 45.4385991, 12.3471125 45.4385977, 12.3471088 45.4385962, 12.3471051 45.438595, 12.3471011 45.4385935, 12.3470971 45.4385924, 12.3470933 45.4385911, 12.3470893 45.4385901, 12.3470876 45.4385894, 12.3470895 45.4385856, 12.3470707 45.4385814, 12.3470693 45.4385856, 12.3470651 45.4385849, 12.3470611 45.4385841, 12.3470568 45.4385835, 12.3470528 45.438583, 12.3470483 45.4385824, 12.3470441 45.4385821, 12.3470401 45.4385818, 12.347036 45.4385815, 12.3470317 45.4385812, 12.3470273 45.438581, 12.3470232 45.438581, 12.3470191 45.4385808, 12.3470149 45.438581, 12.3470104 45.4385811, 12.3470062 45.4385813, 12.3470021 45.4385813, 12.3469979 45.4385817, 12.3469938 45.4385821, 12.3469895 45.4385824, 12.3469853 45.4385831, 12.3469811 45.4385835, 12.3469769 45.4385841, 12.3469727 45.4385847, 12.3469687 45.4385855, 12.3469644 45.4385863, 12.3469599 45.4385876, 12.3469577 45.4385835, 12.3469426 45.4385874, 12.3469446 45.4385911, 12.3469408 45.4385923, 12.3469368 45.4385936, 12.3469331 45.4385948, 12.3469292 45.438596, 12.3469256 45.4385974, 12.3469217 45.4385988, 12.346918 45.4386002, 12.3469144 45.4386021, 12.3469108 45.4386035, 12.3469072 45.4386052, 12.346904 45.438607, 12.3469004 45.4386087, 12.3468972 45.4386104, 12.3468938 45.4386124, 12.3468906 45.4386143, 12.3468873 45.4386163, 12.3468843 45.4386182, 12.346881 45.4386204, 12.3468775 45.4386215, 12.3468705 45.438626, 12.3468645 45.4386312, 12.3468613 45.4386294, 12.346846 45.4386429, 12.3468504 45.4386458, 12.3468436 45.4386536, 12.3468377 45.4386618, 12.3468315 45.4386742, 12.3468259 45.4386866, 12.346823 45.4386974, 12.3468218 45.4387093, 12.3468215 45.4387149, 12.3468171 45.4387149, 12.3468168 45.4387201, 12.3468172 45.4387255, 12.3468183 45.4387314, 12.3468221 45.4387311, 12.3468241 45.4387387, 12.3468263 45.4387486, 12.3468301 45.4387576, 12.3468355 45.4387676, 12.3468422 45.438779, 12.34685 45.4387896, 12.3468556 45.4387951, 12.3468503 45.4387967, 12.3468577 45.4388036, 12.3468639 45.4388083, 12.3468659 45.4388073, 12.3468691 45.4388097))",,,,,,,,,,,yes,gasometer,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
22,"POLYGON ((12.3178864 45.4441913, 12.3184074 45.4446378, 12.3188519 45.4443817, 12.31827 45.4439739, 12.3178864 45.4441913))",substation,Enel Distribuzione,Q3725215,,,distribution,San Giobbe,,VVENSGIV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
23,"POLYGON ((12.3216892 45.4264213, 12.3217024 45.4264522, 12.3217459 45.4264411, 12.32173 45.4264106, 12.3216892 45.4264213))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
24,"POLYGON ((12.3181672 45.443864, 12.3180806 45.443802, 12.3179809 45.4438709, 12.318067 45.4439284, 12.3181672 45.443864))",substation,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
25,"POLYGON ((12.3208075 45.425046, 12.3207802 45.4250533, 12.3207903 45.425073, 12.3208179 45.425066, 12.3208075 45.425046))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
26,"POLYGON ((12.3180867 45.4440761, 12.3181846 45.4440139, 12.318067 45.4439284, 12.3179809 45.4438709, 12.3179562 45.4438887, 12.3179036 45.4439372, 12.3180867 45.4440761))",substation,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
27,"LINESTRING (12.3420959 45.4490948, 12.3421032 45.4490409, 12.3422132 45.4482649, 12.3369246 45.4450902)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
28,"LINESTRING (12.3444584 45.4490958, 12.344311 45.4489662, 12.3390635 45.4440592, 12.3390346 45.4440323)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
29,"POLYGON ((12.382892 45.4301706, 12.3829324 45.4302103, 12.3830121 45.4301733, 12.3829704 45.4301346, 12.382892 45.4301706))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
30,"POLYGON ((12.3752171 45.4391214, 12.3752563 45.4391223, 12.3752579 45.4390903, 12.3752186 45.4390902, 12.3752171 45.4391214))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
31,"POLYGON ((12.382848 45.4398726, 12.3828979 45.4398607, 12.3828835 45.4398313, 12.3828337 45.4398432, 12.382848 45.4398726))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
32,"POLYGON ((12.3783817 45.4159029, 12.3784196 45.4159398, 12.3784351 45.4159068, 12.3783817 45.4159029))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
33,"LINESTRING (12.3600731 45.411486, 12.3606265 45.4114361)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
34,"LINESTRING (12.3418763 45.4159725, 12.3619617 45.4073122)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
35,"LINESTRING (12.3323733 45.4193918, 12.3388156 45.4173719)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
36,"LINESTRING (12.3613823 45.4132779, 12.3577234 45.4169193)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
37,"LINESTRING (12.332374 45.4095346, 12.3337476 45.4101499)",,,,,,,,,,,,pipeline,,,,,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
38,"LINESTRING (12.3429543 45.4164911, 12.3438815 45.4160448)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
39,"LINESTRING (12.3594913 45.4114091, 12.3600731 45.411486)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
40,"LINESTRING (12.3613268 45.4113614, 12.3644974 45.4111489)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
41,"LINESTRING (12.3377345 45.4093372, 12.3585724 45.4018384)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
42,"LINESTRING (12.3386682 45.4201855, 12.3406623 45.4200295)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
43,"LINESTRING (12.3508743 45.4139253, 12.3594913 45.4114091)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
44,"LINESTRING (12.337735 45.4204149, 12.3368822 45.4181247)",,,,,,,,,,,,pipeline,,,,-1,underground,water,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
